,text
91,"Q. Is my IP blocked at Netmon? Check if other local services such as DNS, Webmail, internal WEB ACCESS, etc are working fine, but Internet is not working. If you are getting authentication window for Netmon proxy server and still not able to access internet then you must have forgotten your password on Netmon proxy server. You are requested to contact sysad/compi secy and get your password reset. If you are not getting prompt for authentication, please check your proxy settings in the browser properly. If they are also correct then check whether your IP is really listed in blocked IP's [here](https://camp.iitb.ac.in/cgi- bin/blockip.cgi) "
92,"Q. What can be a cause for my IP getting blocked? There can be several reasons for IP getting blocked.Your computer must be bombarding netmon with invalid requests. This is usually due to ad-wares or may be due to some software trying to update itself without proper proxy settings. This can also be due to virus infected computer.You can also install a personal firewall which will keep track of all incoming and outgoing requests. Most popular of which is ZoneAlarm.People have to fix their problems *on their own*. Just trace out and resolve it as soon as possible. Unblocking automatically happens only after 2 hours of blocking period, but as said earlier, if it is still found bombarding then it is again blocked for 2 hours and this continues recursively. "
93,"LCH_Classroom_Location Sr. No.	Class Room	Room Capacity	Venue	Floor	 1	LA001	350	Lecture Hall Complex, L3 Building, Between HSS & Chemical Engg. Dept. along Corridor	Ground Floor	 2	LA002	350		Ground Floor	"
94,3	LA201	350		Second Floor	 4	LA202	350		Second Floor	 5	IC1	140	SOM IRCC Building	Ground Floor	 6	IC2	140		First Floor	 7	IC3	140		Second Floor	 8	IC4	140		Second Floor	
95,"9	LC001	150	Lecture Hall Complex, L1 Building, Opp. KReSIT Bldg., Between Physics & MEMS Dept.	Ground Floor	 10	LC002	150		Ground Floor	 11	LC101	150		First Floor	 12	LC102	150		First Floor	"
96,"13	LC201	150		Second Floor	 14	LC202	150		Second Floor	 15	LC301	150		Third Floor	 16	LC302	150		Third Floor	 17	LH101	240	Lecture Hall Complex, L2 Building, Between Physics & MEMS Dept. along Corridor	First Floor	"
97,"18	LH102	240		First Floor	 19	LH301	240		Third Floor	 20	LH302	240		Third Floor	 21	LT001	50	Lecture Hall Complex, L1 Building, Opp. KReSIT Bldg., Between Physics & MEMS Dept.	Ground Floor	"
98,22	LT002	50		Ground Floor	 23	LT003	50		Ground Floor	 24	LT004	50		Ground Floor	 25	LT005	50		Ground Floor	 26	LT006	50		Ground Floor	 27	LT101	50		First Floor	 28	LT102	50		First Floor	
99,"29	LT103	50		First Floor	 30	LT104	50		First Floor	 31	LT105	50		First Floor	 32	LT106	50		First Floor	 LCH_Classroom_Location 33	LT201	50	Lecture Hall Complex, L1 Building, Opp. KReSIT Bldg., Between Physics & MEMS Dept.	Second Floor	"
100,34	LT202	50		Second Floor	 35	LT203	50		Second Floor	 36	LT204	50		Second Floor	 37	LT205	50		Second Floor	 38	LT206	50		Second Floor	 39	LT301	50		Third Floor	 40	LT302	50		Third Floor	
101,41	LT303	50		Third Floor	 42	LT304	50		Third Floor	 43	LT305	50		Third Floor	 44	LT306	50		Third Floor	 45	CC 101	80	New Computer Centre Building next to KreSIT	First Floor	
102,46	CC 103	160			 47	CC 105	80			
103,"Process for Minor Pre-Registration As per 2.5.1 section of UG Rule Book, allocation of Minor courses is based on CPI, subject to course pre-requisites and seat availability. Students must pre-register for minor courses and give their preferences for the various courses being offered in a given semester."
104,"The details about pre-registration process for Minor courses are as follows: - Students after logging into ASC, can view the list of available Minor courses. - Student can give preferences for multiple courses and must select the courses that they are interested in. Courses where pre-requisites are not met, will not be allowed for selection and an appropriate message will be shown for the same. On submission of preferences, an auto email confirmation will be sent to the students."
105,"- All allocations will be done, based on CPI. Therefore, students with higher CPI will get preference. - When a student is allotted a course either during pre-registration or later during the regular registration, he/she will be removed from all queues for lower priority courses."
106,"- After allocation is done on the basis of CPI and seat availability, selected students will be registered for the respective courses. If seats for a course are full, a waitlist of students who have pre-registered for the course is maintained, in decreasing order of CPI."
107,"- For the courses with a waitlist, if a student drops the allotted Minor course then the first student who is in queue will be registered - Registration for courses (including Minor) will be strictly based on permissible course registration load as per categories defined in UG rulebook. A minor course will not be allotted to a student if at that point, on allocation of the Minor course, the total credits registered by the student exceed the permissible limit. The seat will be alloted to the first student who has not exceeded the permissible credit limit. It is the student's responsibility to make sure that the cap on the total credits is not exceeded during Minor course allocation."
108,- NO FIRST COME FIRST SERVE queue will be maintained unlike previous years.
109,Named Scholarships Named Scholarships­ Office of the Dean Alumni & Corporate Relations manages the Named scholarship endowed by the alumni of the Institute and other wellwishers. These Scholarships are awarded based on the following eligibility criteria :­
110,"Merit Criterion: For new entrants of B.Tech., Dual Degee (B.Tech. + M.Tech.), B.S. their JEE AIR and for B.Des. their UCEED Rank, will be the criterion. In subsequent years, the criterion will be their academic performance during the preceding academic year."
111,"Means Criterion: The parental income is the basis for the ‘means' criterion of the scholarship. At present students whose parents annual gross income from all sources for the previous Financial year does not exceed Rs. 5,00,000/ , are eligible to apply for Merit­cum­Means Scholarship. When a student applies for the scholarship, copy of Income Certificate issued by the Revenue Officer not below the rank of Tehsildar or the Income Tax Return (ITR) of parents for preceding year is required to be submitted with application for the scholarship every year."
112,The benefits are available for the standard duration of the program on registration and satisfactory performance.
113,SBI SCHOLAR LOAN SANCTION PROCESS 2021-22 UNDER PANDEMIC SITUATION 1. BOTH THE APPLICANTS SHOULD HAVE SAVINGS ACCOUNT (SINGLE OR JOINT) IN SBI. ACCOUNT CAN BE OPENED THROUGH YONO APP OR BY VISITING NEARBY SBI BRANCH. NO NEED FOR FRESH ACCOUNT IF THE APPLICANTS HAVE AN EXISTING SBI ACCOUNT.
114,2. DOWNLOAD AND PRINT SBI SCHOLAR LOAN APPLICATION AND CHECKLIST FROM THE WEBSITE AND PREPARE ALL DOCUMENTS AT YOUR END. 3. SEND A SCANNED COPY OF COMPLETELY FILLED APPLICATION AND DOCUMENTS ON OUR BRANCH EMAIL ID: sbi.01109@sbi.co.in
115,4. SBI IIT BRANCH WILL SANCTION THE LOAN AND DESPATCH THE SET OF LOAN DOCUMENTS TO NEARBY SBI BRANCH/ BRANCH OF YOUR CHOICE. A REFERENCE NUMBER (LOS ID) WILL BE COMMUNICATED TO YOUR NEARBY SBI BRANCH.
116,5. YOU WILL BE REQUIRED TO VISIT YOUR DESIGNATED SBI BRANCH AND SUBMIT COMPLETELY FILLED APPLICATION ALONG WITH REQUIRED DOCUMENTS. 6. COMPLETE THE FORMALITIES REGARDING SIGNING OF LOAN DOCUMENTS AT NEARBY BRANCH.
117,7. BRANCH WILL CONDUCT VERIFICATION SURVEY OF THE APPLICANTS. 8. SBI BRANCH WILL DESPATCH LOAN DOCUMENTS TO SBI IIT POWAI BRANCH 9. LOAN ACCOUNT TO BE OPENED AT SBI IIT BRANCH
118,"10. FEE TO BE DISBURSED DIRECTLY TO IIT 11. REIMBURSEMENT OF FIRST SEMESTER FEES: IN CASE A STUDENT HAS ALREADY PAID FIRST SEM FEE TO IIT, FEE CAN BE REIMBURSED TO THE STUDENT IN HIS SBI SAVINGS ACCOUNTS WITHIN 6 MONTHS OF THE DATE OF PAYMENT."
